servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
U.S. BANK NATIONAL ASSOCIATION,"BAYVIEW LOAN SERVICING, LLC",2,215445.88,201909,0.00005088152237514947,1.8445718164026472e-6,0.4,0.00335755165786682
PULTE MORTGAGE LLC,ARVEST CENTRAL MORTGAGE COMPANY,2,548000.0,201909,0.001105583195135434,0.001057264014473448,0.0001296092281770462,0.00003092397716979314
"MANN MORTGAGE, LLC",MANN FINANCIAL INC.,2,294324.48,201909,1.0,0.05865588807658039,0.5,0.05352237826552004
MATRIX FINANCIAL SERVICE CORP,"EVERETT FINANCIAL, INC.",2,436615.9,201909,0.0000966183574879227,8.859979874263641e-6,0.021505376344086023,0.0017160024226344258
MATRIX FINANCIAL SERVICE CORP,"ENVOY MORTGAGE, LTD.",2,251677.97999999998,201909,0.0000966183574879227,5.106452761856127e-6,0.05714285714285714,0.029480797246059117
MATRIX FINANCIAL SERVICE CORP,"PLAZA HOME MORTGAGE, INC.",2,787810.49,201909,0.0000966183574879227,0.00001598726111168988,0.001713796058269066,0.0012465040649645741
"CMC FUNDING, INC.",LANDMARK BANK,1,264000.0,201909,0.000059238196789289736,0.00007833284015316697,0.011904761904761904,0.002289817030386905
ROUNDPOINT MORTGAGE SERVICING CORPORATION,"AURORA FINANCIAL GROUP, INC.",1,249000.0,201909,0.00016100466913540493,0.000020965626117881076,0.00011818933932159319,0.000027765484196915238
"CMC FUNDING, INC.","HAMILTON GROUP FUNDING, INC.",1,55000.0,201909,0.000059238196789289736,0.00001354813273089366,0.06666666666666667,0.011242354838443488
"PINGORA LOAN SERVICING, LLC","STEARNS LENDING, LLC.",1,244364.79,201909,0.00001747243723026925,6.001778089565678e-6,0.0008257638315441783,0.0007388088887493348
MATRIX FINANCIAL SERVICE CORP,ACADEMY MORTGAGE CORPORATION,1,67962.06,201909,0.00004830917874396135,1.3790473607626895e-6,0.25,0.07104575257960605
"CMC FUNDING, INC.","SPECIALIZED LOAN SERVICING, LLC",1,52000.0,201909,0.000059238196789289736,0.000012809143672844914,0.0003252032520325203,4.413638891742702e-6
ETHOS LENDING LLC,"SPECIALIZED LOAN SERVICING, LLC",1,385513.4,201909,0.25,0.04156584531966757,0.0003252032520325203,0.00003272147952938387
"PEOPLES NATIONAL BANK, N.A.",PEOPLES NATIONAL BANK,1,27462.88,201909,1.0,0.03670527840822053,1.0,0.036698908653367335
QUICKEN LOANS INC.,NEW RESIDENTIAL MORTGAGE LLC,6192,1781267277.03,201910,0.0645652377923527,0.02268445075900742,0.08651186184927488,0.016341602605376024
GUIDANCE RESIDENTIAL,"GUIDANCE RESIDENTIAL, LLC",1604,430335881.55,201910,0.9876847290640394,0.21834734939652584,0.894590072504183,0.21539016256427593
PULTE MORTGAGE LLC,ARVEST CENTRAL MORTGAGE COMPANY,1414,409286887.04,201910,0.62677304964539,0.6307006368818053,0.07510889195793052,0.022106921712606704
NATIONSTAR MORTGAGE LLC,NEW RESIDENTIAL MORTGAGE LLC,822,158358273.9,201910,0.055353535353535356,0.0034494153699972277,0.011484617319138234,0.001452801617543837
"GUARANTEED RATE, INC.",FIFTH THIRD BANK,515,121631223.19,201910,0.31829419035846723,0.16825944076001825,0.03260731923515259,0.0033002265375725224
"STEARNS LENDING, LLC.",FREEDOM MORTGAGE CORPORATION,468,120521704.62,201910,0.3864574731626755,0.3651517941119379,0.023828920570264766,0.00473933202615258
"EMBRACE HOME LOANS, INC.",RUSHMORE LOAN MANAGEMENT SERVICES LLC,406,113326964.17999999,201910,0.4645308924485126,0.16909228908644944,0.6014814814814815,0.02563702537033221
"CCFCU FUNDING, LLC","CCFCU FUNDING, LLC DBA HOMEOWNERS ADVANTAGE",390,66067778.27,201910,0.9923664122137404,0.08676977390158956,0.8823529411764706,0.08632966870718081
COLUMBIA BANK,COLUMBIA BANK (MHC),302,82324590.44,201910,0.993421052631579,0.28052945212381447,0.8096514745308311,0.26454573068492476
FIRST BANK AND TRUST COMPANY,FIRST BANK & TRUST COMPANY,279,49578461.7,201910,0.9755244755244755,0.10978042235588915,0.8801261829652997,0.10971935264880762
HILLSDALE COUNTY NATIONAL BANK,COUNTY NATIONAL BANK,259,33790513.71,201910,0.9810606060606061,0.1390100165716262,0.8547854785478548,0.13725334133814063
"STEARNS LENDING, LLC.",NEW RESIDENTIAL MORTGAGE LLC,224,53794235.86,201910,0.18497109826589594,0.1629418728636182,0.00312962807723475,0.000493516069272732
